UID          PID    PPID  C STIME TTY          TIME CMD
alison      1127    1108  0 Sep24 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libsystray.so 14 16777229 systray Status Tray Plugin Provides status notifier items (application indicators) and legacy systray items
alison      1128    1108  0 Sep24 ?        00:05:33 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libgenmon.so 15 16777230 genmon Generic Monitor Show output of a command.
alison      1129    1108  0 Sep24 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libpulseaudio-plugin.so 16 16777231 pulseaudio PulseAudio Plugin Adjust the audio volume of the PulseAudio sound system
alison      1130    1108  0 Sep24 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libnotification-plugin.so 17 16777232 notification-plugin Notification Plugin Notification plugin for the Xfce panel
alison      1131    1108  0 Sep24 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libxfce4powermanager.so 18 16777233 power-manager-plugin Power Manager Plugin Display the battery levels of your devices and control the brightness of your display
alison      1132    1108  0 Sep24 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libactions.so 2200 16777234 actions Action Buttons Log out, lock or other system actions
alison      1167     924  0 Sep24 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/notifyd/xfce4-notifyd
alison      1183       1  0 Sep24 ?        00:00:00 xcape -e Super_L Control_L Escape
alison      1190     972  0 Sep24 ?        00:00:01 /usr/bin/python3 /usr/bin/blueman-applet
alison      1194     972  0 Sep24 ?        00:00:00 xfce4-power-manager
alison      1198     972  0 Sep24 ?        00:00:00 /usr/libexec/geoclue-2.0/demos/agent
alison      1203     972  0 Sep24 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
alison      1216     972  0 Sep24 ?        00:00:00 nm-applet
alison      1222       1  0 Sep24 ?        00:00:00 /usr/bin/spice-vdagent
alison      1223     972  0 Sep24 ?        00:00:00 xiccd
alison      1231     924  0 Sep24 ?        00:00:00 /usr/libexec/dconf-service
alison      1233     972  0 Sep24 ?        00:00:01 light-locker
colord      1252       1  0 Sep24 ?        00:00:00 /usr/libexec/colord
root        1253       1  0 Sep24 ?        00:00:00 /usr/sbin/pcscd --foreground --auto-exit
root        1256       1  0 Sep24 ?        00:00:11 /usr/sbin/spice-vdagentd
alison      1327     924  0 Sep24 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
root        1351       1  0 Sep24 ?        00:00:03 /usr/libexec/udisks2/udisksd
alison      1360     924  0 Sep24 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
alison      1368     924  0 Sep24 ?        00:00:09 /usr/libexec/gvfs-afc-volume-monitor
alison      1374     924  0 Sep24 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
alison      1382     924  0 Sep24 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
alison      1406    1064  0 Sep24 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.20 /org/gtk/gvfs/exec_spaw/0
alison      1420     924  0 Sep24 ?        00:00:00 /usr/libexec/gvfsd-metadata
alison      1437     924  0 Sep24 ?        00:00:00 /usr/libexec/bluetooth/obexd
root      339018       2  0 06:17 ?        00:00:01 [kworker/u12:0-flush-254:0]
root      441741       2  0 09:49 ?        00:00:00 [kworker/4:1-cgwb_release]
alison    454857       1  0 10:15 ?        00:00:22 /usr/bin/qterminal
alison    454860  454857  0 10:15 pts/0    00:00:05 /usr/bin/zsh
root      471733       2  0 10:49 ?        00:00:00 [kworker/2:0-events]
root      486262       2  0 11:19 ?        00:00:00 [kworker/3:0-mm_percpu_wq]
root      491275       2  0 11:29 ?        00:00:00 [kworker/u12:1-events_unbound]
root      498798       2  0 11:44 ?        00:00:00 [kworker/5:4-mm_percpu_wq]
root      506537       2  0 12:00 ?        00:00:00 [kworker/3:2]
root      509196       2  0 12:06 ?        00:00:00 [kworker/u12:2-events_unbound]
root      509208       2  0 12:06 ?        00:00:00 [kworker/1:3-events_power_efficient]
root      510683       2  0 12:09 ?        00:00:00 [kworker/4:2-mm_percpu_wq]
root      521711       2  0 12:31 ?        00:00:00 [kworker/0:2-events]
root      521809       2  0 12:31 ?        00:00:00 [kworker/2:2-events]
root      524256       2  0 12:36 ?        00:00:00 [kworker/0:1-events]
root      524690       2  0 12:37 ?        00:00:00 [kworker/1:1-mm_percpu_wq]
root      525370       2  0 12:39 ?        00:00:00 [kworker/5:1-mm_percpu_wq]
alison    526059     924  0 12:40 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/xfconf/xfconfd
root      527297       2  0 12:42 ?        00:00:00 [kworker/1:0-mm_percpu_wq]
root      528115       2  0 12:44 ?        00:00:00 [kworker/0:0-events]
alison    528181  454860  0 12:44 pts/0    00:00:00 ps -ef
